AUC score	Balanced accuracy score	Precision	Recall	species	antibiotic	MOA	fold	case	R1	S1	Rn	Sn	distance	model	split
0.6212975778546712	0.5391176470588235	0.5202935900133249	1.0	Klebsiella pneumoniae	amikacin	PSI	53	A-b	212	82	0	275	2.058891203975465	LightGBM	scheme
0.6595194156093811	0.5401960784313724	0.5211969435698042	1.0	Klebsiella pneumoniae	amikacin	PSI	54	A-b	212	82	0	275	2.058891203975465	LightGBM	scheme
0.567520184544406	0.5407843137254901	0.5206015320467456	1.0	Klebsiella pneumoniae	amikacin	PSI	55	A-b	212	82	0	275	2.058891203975465	LightGBM	scheme
0.618954	0.5398999999999999	0.521520480139967	1.0	Klebsiella pneumoniae	amikacin	PSI	56	A-b	213	82	0	276	2.058891203975465	LightGBM	scheme
0.6499679999999999	0.5397	0.5207540666836458	1.0	Klebsiella pneumoniae	amikacin	PSI	57	A-b	213	82	0	276	2.058891203975465	LightGBM	scheme
0.6062040000000001	0.5394	0.5205549440751653	1.0	Klebsiella pneumoniae	amikacin	PSI	58	A-b	213	82	0	276	2.058891203975465	LightGBM	scheme
0.62321	0.5401999999999999	0.5213101905167927	1.0	Klebsiella pneumoniae	amikacin	PSI	59	A-b	213	82	0	276	2.058891203975465	LightGBM	scheme
0.851938775510204	0.8400000000000004	0.7711111111111109	0.9728571428571432	Klebsiella pneumoniae	amikacin	PSI	60	A-c	194	0	56	293	2.058891203975465	LightGBM	scheme
0.9722448979591838	0.7750000000000002	0.6930000000000001	0.9728571428571428	Klebsiella pneumoniae	amikacin	PSI	61	A-c	194	0	56	293	2.058891203975465	LightGBM	scheme
0.9657142857142856	0.785714285714286	0.7000000000000002	1.0	Klebsiella pneumoniae	amikacin	PSI	62	A-c	194	0	56	293	2.058891203975465	LightGBM	scheme
0.8747222222222223	0.75	0.6666666666666669	1.0	Klebsiella pneumoniae	amikacin	PSI	63	A-c	194	0	57	293	2.058891203975465	LightGBM	scheme
0.8094444444444444	0.6666666666666669	0.6	1.0	Klebsiella pneumoniae	amikacin	PSI	64	A-c	194	0	57	293	2.058891203975465	LightGBM	scheme
0.8819444444444445	0.5833333333333334	0.5454545454545453	1.0	Klebsiella pneumoniae	amikacin	PSI	65	A-c	194	0	57	293	2.058891203975465	LightGBM	scheme
0.8770833333333334	0.7191666666666667	0.650357142857143	0.94	Klebsiella pneumoniae	amikacin	PSI	66	A-c	195	0	57	294	2.058891203975465	LightGBM	scheme
0.87	0.75	0.6666666666666669	1.0	Klebsiella pneumoniae	amikacin	PSI	67	A-c	195	0	57	294	2.058891203975465	LightGBM	scheme
0.7497222222222223	0.6308333333333334	0.5836666666666666	0.9149999999999998	Klebsiella pneumoniae	amikacin	PSI	68	A-c	195	0	57	294	2.058891203975465	LightGBM	scheme
0.698611111111111	0.6458333333333335	0.5906666666666666	0.975	Klebsiella pneumoniae	amikacin	PSI	69	A-c	195	0	57	294	2.058891203975465	LightGBM	scheme
0.920612244897959	0.6428571428571428	0.5833333333333334	1.0	Klebsiella pneumoniae	amikacin	PSI	70	A-d	0	63	56	293	2.058891203975465	LightGBM	scheme
0.8438775510204083	0.6428571428571428	0.5833333333333334	1.0	Klebsiella pneumoniae	amikacin	PSI	71	A-d	0	64	56	293	2.058891203975465	LightGBM	scheme
0.9216326530612244	0.6428571428571428	0.5833333333333334	1.0	Klebsiella pneumoniae	amikacin	PSI	72	A-d	0	64	56	293	2.058891203975465	LightGBM	scheme
0.9290277777777776	0.5833333333333334	0.5454545454545453	1.0	Klebsiella pneumoniae	amikacin	PSI	73	A-d	0	64	57	293	2.058891203975465	LightGBM	scheme
0.9400000000000002	0.5	0.5	1.0	Klebsiella pneumoniae	amikacin	PSI	74	A-d	0	64	57	293	2.058891203975465	LightGBM	scheme
0.861111111111111	0.5833333333333334	0.5454545454545453	1.0	Klebsiella pneumoniae	amikacin	PSI	75	A-d	0	64	57	293	2.058891203975465	LightGBM	scheme
0.8743055555555557	0.5	0.5	1.0	Klebsiella pneumoniae	amikacin	PSI	76	A-d	0	64	57	294	2.058891203975465	LightGBM	scheme
0.8458333333333333	0.6666666666666669	0.6	1.0	Klebsiella pneumoniae	amikacin	PSI	77	A-d	0	64	57	294	2.058891203975465	LightGBM	scheme
0.7344444444444446	0.5	0.5	1.0	Klebsiella pneumoniae	amikacin	PSI	78	A-d	0	64	57	294	2.058891203975465	LightGBM	scheme
0.7891666666666667	0.5	0.5	1.0	Klebsiella pneumoniae	amikacin	PSI	79	A-d	0	64	57	294	2.058891203975465	LightGBM	scheme
0.8932000000000001	0.496	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	0	A-a	212	81	321	0	4.308972766337762	LightGBM	random
0.9576543209876544	0.5555555555555555	1.0	0.1111111111111111	Klebsiella pneumoniae	amikacin	PSI	1	A-a	212	82	321	0	4.308972766337762	LightGBM	random
0.8906172839506172	0.6066666666666667	0.9566666666666666	0.2222222222222222	Klebsiella pneumoniae	amikacin	PSI	2	A-a	212	82	321	0	4.308972766337762	LightGBM	random
0.9112345679012346	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	3	A-a	212	82	321	0	4.308972766337762	LightGBM	random
0.8929629629629631	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	4	A-a	212	82	321	0	4.308972766337762	LightGBM	random
0.924938271604938	0.5555555555555555	1.0	0.1111111111111111	Klebsiella pneumoniae	amikacin	PSI	5	A-a	212	82	321	0	4.308972766337762	LightGBM	random
0.912283950617284	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	6	A-a	213	82	321	0	4.308972766337762	LightGBM	random
0.8761111111111113	0.5555555555555555	1.0	0.1111111111111111	Klebsiella pneumoniae	amikacin	PSI	7	A-a	213	82	322	0	4.308972766337762	LightGBM	random
0.9009876543209876	0.6111111111111112	1.0	0.2222222222222222	Klebsiella pneumoniae	amikacin	PSI	8	A-a	213	82	322	0	4.308972766337762	LightGBM	random
0.924567901234568	0.6666666666666669	1.0	0.3333333333333334	Klebsiella pneumoniae	amikacin	PSI	9	A-a	213	82	322	0	4.308972766337762	LightGBM	random
0.8511111111111112	0.7937499999999998	0.8865320609902654	0.6658333333333334	Klebsiella pneumoniae	amikacin	PSI	10	A-b	212	81	0	39	4.308972766337762	LightGBM	random
0.9175868055555556	0.8154166666666666	0.8577066926208801	0.77125	Klebsiella pneumoniae	amikacin	PSI	11	A-b	212	82	0	39	4.308972766337762	LightGBM	random
0.87921875	0.885	1.0	0.7625	Klebsiella pneumoniae	amikacin	PSI	12	A-b	212	82	0	39	4.308972766337762	LightGBM	random
0.8920572916666668	0.8445833333333332	0.9014243414861264	0.77	Klebsiella pneumoniae	amikacin	PSI	13	A-b	212	82	0	39	4.308972766337762	LightGBM	random
0.89015625	0.865	1.0	0.7233333333333333	Klebsiella pneumoniae	amikacin	PSI	14	A-b	212	82	0	40	4.308972766337762	LightGBM	random
0.8871701388888888	0.805625	0.8919553373183404	0.6991666666666668	Klebsiella pneumoniae	amikacin	PSI	15	A-b	212	82	0	40	4.308972766337762	LightGBM	random
0.8500472589792061	0.838478260869565	1.0	0.6773913043478261	Klebsiella pneumoniae	amikacin	PSI	16	A-b	213	82	0	40	4.308972766337762	LightGBM	random
0.8913988657844989	0.8378260869565217	1.0	0.6695652173913045	Klebsiella pneumoniae	amikacin	PSI	17	A-b	213	82	0	40	4.308972766337762	LightGBM	random
0.9641682419659736	0.8426086956521738	0.9435684001670844	0.7230434782608696	Klebsiella pneumoniae	amikacin	PSI	18	A-b	213	82	0	40	4.308972766337762	LightGBM	random
0.8885822306238186	0.8806521739130433	1.0	0.7669565217391303	Klebsiella pneumoniae	amikacin	PSI	19	A-b	213	82	0	40	4.308972766337762	LightGBM	random
0.700204081632653	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	20	A-c	194	0	339	57	4.308972766337762	LightGBM	random
0.8210204081632654	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	21	A-c	194	0	339	57	4.308972766337762	LightGBM	random
0.9082653061224488	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	22	A-c	194	0	339	57	4.308972766337762	LightGBM	random
0.8302040816326531	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	23	A-c	194	0	339	57	4.308972766337762	LightGBM	random
