AUC score	Balanced accuracy score	Precision	Recall	species	antibiotic	MOA	fold	case	R1	S1	Rn	Sn
0.9446533203125	0.87125	0.8317075747342770	0.928125	Streptococcus pneumoniae	erythromycin	PSI	119	3	0	381	296	450
0.9945185185185190	0.9663333333333330	0.9755202020202020	0.9555555555555550	Streptococcus pneumoniae	erythromycin	PSI	120	0	308	398	261	0
0.9686320987654320	0.9215555555555560	0.9752926829268290	0.8666666666666670	Streptococcus pneumoniae	erythromycin	PSI	121	0	308	398	262	0
0.9828617283950620	0.9381111111111110	0.9409475292042260	0.9333333333333340	Streptococcus pneumoniae	erythromycin	PSI	122	0	308	398	262	0
0.9911880165289260	0.9730681818181820	0.9646537110232760	0.9772727272727280	Streptococcus pneumoniae	erythromycin	PSI	123	0	309	399	262	0
0.9804003099173550	0.9684090909090910	0.9422731262100900	1.0	Streptococcus pneumoniae	erythromycin	PSI	124	0	309	399	262	0
0.9942355371900830	0.9886363636363630	1.0	0.9772727272727280	Streptococcus pneumoniae	erythromycin	PSI	125	0	309	399	262	0
0.9985278925619840	0.9829545454545450	0.9904545454545460	0.9772727272727280	Streptococcus pneumoniae	erythromycin	PSI	126	0	309	399	262	0
0.9939462809917360	0.9757954545454550	0.9773181818181820	0.9772727272727280	Streptococcus pneumoniae	erythromycin	PSI	127	0	309	399	262	0
0.9798863636363640	0.9818181818181820	0.9665336622468910	1.0	Streptococcus pneumoniae	erythromycin	PSI	128	0	309	399	262	0
0.9953512396694210	0.9551136363636370	0.9764562569213730	0.931818181818182	Streptococcus pneumoniae	erythromycin	PSI	129	0	309	399	262	0
0.9882367346938780	0.9327142857142860	0.8954991428675640	0.9817142857142860	Streptococcus pneumoniae	erythromycin	PSI	130	1	308	398	0	321
0.9658040816326530	0.9050000000000000	0.8896326706791100	0.918857142857143	Streptococcus pneumoniae	erythromycin	PSI	131	1	308	398	0	321
0.9698938775510200	0.8697142857142860	0.8094895065229720	0.9694285714285720	Streptococcus pneumoniae	erythromycin	PSI	132	1	308	398	0	321
0.9669420415224910	0.8480882352941180	0.7707716701902750	0.99	Streptococcus pneumoniae	erythromycin	PSI	133	1	309	399	0	321
0.9716262975778550	0.862058823529412	0.7888039867109640	0.9902941176470590	Streptococcus pneumoniae	erythromycin	PSI	134	1	309	399	0	321
0.9944420415224910	0.9564705882352940	0.9430774976657330	0.9705882352941180	Streptococcus pneumoniae	erythromycin	PSI	135	1	309	399	0	321
0.9897664359861590	0.9413235294117640	0.9166714739950030	0.9723529411764710	Streptococcus pneumoniae	erythromycin	PSI	136	1	309	399	0	321
0.9884169550173010	0.8801470588235290	0.8250998239030970	0.9658823529411770	Streptococcus pneumoniae	erythromycin	PSI	137	1	309	399	0	322
0.9742517301038060	0.8772058823529410	0.8079907084785130	0.9902941176470590	Streptococcus pneumoniae	erythromycin	PSI	138	1	309	399	0	322
0.9747664359861590	0.8813235294117650	0.8411275846152010	0.9397058823529410	Streptococcus pneumoniae	erythromycin	PSI	139	1	309	399	0	322
0.9926869806094180	0.9478947368421060	0.9752702702702700	0.921052631578947	Streptococcus pneumoniae	erythromycin	PSI	140	2	290	0	279	339
0.9864716066482000	0.9622368421052630	0.951322833349791	0.9736842105263160	Streptococcus pneumoniae	erythromycin	PSI	141	2	290	0	280	339
0.9734210526315790	0.9619736842105260	0.9769843527738260	0.9473684210526320	Streptococcus pneumoniae	erythromycin	PSI	142	2	290	0	280	339
0.9922437673130190	0.9738157894736840	0.9786774628879890	0.9736842105263160	Streptococcus pneumoniae	erythromycin	PSI	143	2	291	0	280	339
0.9965720221606650	0.9551315789473680	0.9593894299157460	0.9473684210526320	Streptococcus pneumoniae	erythromycin	PSI	144	2	291	0	280	339
0.9993767313019390	0.9881578947368420	0.9777179487179490	1.0	Streptococcus pneumoniae	erythromycin	PSI	145	2	291	0	280	339
0.9951939058171750	0.9748684210526320	0.9768488529014850	0.9736842105263160	Streptococcus pneumoniae	erythromycin	PSI	146	2	291	0	280	339
0.9948502556610670	0.9687837837837840	0.9395578216178340	1.0	Streptococcus pneumoniae	erythromycin	PSI	147	2	291	0	280	340
0.9652921840759680	0.9064864864864860	0.9707102272727270	0.837837837837838	Streptococcus pneumoniae	erythromycin	PSI	148	2	291	0	280	340
0.9853177501826150	0.9864864864864860	1.0	0.9729729729729730	Streptococcus pneumoniae	erythromycin	PSI	149	2	291	0	280	340
0.9919384765625	0.97890625	0.9695075757575760	0.9878125	Streptococcus pneumoniae	erythromycin	PSI	150	3	0	380	279	339
0.9665088449531740	0.9620967741935480	0.9388825757575760	0.9896774193548390	Streptococcus pneumoniae	erythromycin	PSI	151	3	0	380	280	339
0.9702757544224770	0.979193548387097	0.9683971774193550	0.99	Streptococcus pneumoniae	erythromycin	PSI	152	3	0	380	280	339
0.9920343392299690	0.9838709677419360	0.96875	1.0	Streptococcus pneumoniae	erythromycin	PSI	153	3	0	381	280	339
1.0	1.0	1.0	1.0	Streptococcus pneumoniae	erythromycin	PSI	154	3	0	381	280	339
0.9992143600416230	0.9838709677419360	0.96875	1.0	Streptococcus pneumoniae	erythromycin	PSI	155	3	0	381	280	339
0.9899583766909470	0.9677419354838710	0.9393939393939390	1.0	Streptococcus pneumoniae	erythromycin	PSI	156	3	0	381	280	339
0.9922216441207080	0.978225806451613	0.9684375	0.9909677419354840	Streptococcus pneumoniae	erythromycin	PSI	157	3	0	381	280	340
0.9534755463059310	0.9459677419354840	0.9109625668449200	0.9890322580645160	Streptococcus pneumoniae	erythromycin	PSI	158	3	0	381	280	340
0.9978355879292400	0.9791935483870970	0.9684475806451610	0.9903225806451610	Streptococcus pneumoniae	erythromycin	PSI	159	3	0	381	280	340
0.9863461538461540	0.8771153846153850	0.9861904761904760	0.7692307692307700	Streptococcus pneumoniae	penicillin	CWSI	0	0	208	225	300	0
0.9591520000000000	0.9046000000000000	0.9696047430830040	0.8400000000000000	Streptococcus pneumoniae	penicillin	CWSI	1	0	208	226	300	0
0.9562960000000000	0.8868	0.9702164502164500	0.8000000000000000	Streptococcus pneumoniae	penicillin	CWSI	2	0	209	226	300	0
0.9843040000000000	0.9272000000000000	0.9753985507246380	0.88	Streptococcus pneumoniae	penicillin	CWSI	3	0	209	226	300	0
1.0	0.96	1.0	0.9200000000000000	Streptococcus pneumoniae	penicillin	CWSI	4	0	209	226	301	0
0.9702	0.8812000000000000	0.960978731413514	0.8000000000000000	Streptococcus pneumoniae	penicillin	CWSI	5	0	209	226	301	0
0.9947840000000000	0.92	1.0	0.8400000000000000	Streptococcus pneumoniae	penicillin	CWSI	6	0	209	226	301	0
0.974256	0.9000000000000010	1.0	0.8000000000000000	Streptococcus pneumoniae	penicillin	CWSI	7	0	209	226	301	0
0.9746400000000000	0.9528000000000000	0.9854166666666670	0.9200000000000000	Streptococcus pneumoniae	penicillin	CWSI	8	0	209	226	301	0
0.997072	0.88	1.0	0.7600000000000000	Streptococcus pneumoniae	penicillin	CWSI	9	0	209	226	301	0
0.9907638888888890	0.9254166666666670	0.9186578595317730	0.9370833333333330	Streptococcus pneumoniae	penicillin	CWSI	10	1	208	225	0	204
0.9519965277777780	0.9068750000000000	0.8822925863991080	0.9354166666666670	Streptococcus pneumoniae	penicillin	CWSI	11	1	208	226	0	204
0.9449432892249530	0.9552173913043480	0.9562304724261250	0.9573913043478260	Streptococcus pneumoniae	penicillin	CWSI	12	1	209	226	0	204
0.9856899810964080	0.8706521739130430	0.8143856328856330	0.9530434782608700	Streptococcus pneumoniae	penicillin	CWSI	13	1	209	226	0	204
0.9989035916824200	0.9489130434782610	0.9191000000000000	0.9860869565217390	Streptococcus pneumoniae	penicillin	CWSI	14	1	209	226	0	204
0.9320037807183370	0.8930434782608700	0.8464341880341880	0.9539130434782610	Streptococcus pneumoniae	penicillin	CWSI	15	1	209	226	0	204
0.9963705103969750	0.9400000000000000	0.918140579710145	0.9708695652173920	Streptococcus pneumoniae	penicillin	CWSI	16	1	209	226	0	204
0.9739697542533080	0.9343478260869570	0.95464157429146	0.9108695652173920	Streptococcus pneumoniae	penicillin	CWSI	17	1	209	226	0	205
0.9693100189035920	0.9617391304347830	0.9568610013175230	0.9721739130434780	Streptococcus pneumoniae	penicillin	CWSI	18	1	209	226	0	205
0.9957277882797730	0.9734782608695650	1.0	0.9386956521739130	Streptococcus pneumoniae	penicillin	CWSI	19	1	209	226	0	205
0.9773920000000000	0.9386000000000000	0.958525641025641	0.9200000000000000	Streptococcus pneumoniae	penicillin	CWSI	20	2	190	0	318	222
0.97952	0.9340000000000000	0.9873913043478260	0.88	Streptococcus pneumoniae	penicillin	CWSI	21	2	190	0	318	222
0.975376	0.8916	0.9395839920948620	0.8400000000000000	Streptococcus pneumoniae	penicillin	CWSI	22	2	191	0	318	222
0.9540960000000000	0.8916	0.9528804347826090	0.8400000000000000	Streptococcus pneumoniae	penicillin	CWSI	23	2	191	0	318	222
0.961152	0.9134000000000000	0.9872727272727270	0.8400000000000000	Streptococcus pneumoniae	penicillin	CWSI	24	2	191	0	319	222
0.957464	0.8872000000000000	0.9643722943722940	0.8000000000000000	Streptococcus pneumoniae	penicillin	CWSI	25	2	191	0	319	222
0.954816	0.9080000000000000	0.9725889328063240	0.8400000000000000	Streptococcus pneumoniae	penicillin	CWSI	26	2	191	0	319	222
0.9414583333333330	0.84875	0.9329275461380730	0.75	Streptococcus pneumoniae	penicillin	CWSI	27	2	191	0	319	223
0.9757118055555560	0.9125	0.9468584980237160	0.875	Streptococcus pneumoniae	penicillin	CWSI	28	2	191	0	319	223
0.9746354166666670	0.9116666666666670	0.9871428571428570	0.8333333333333330	Streptococcus pneumoniae	penicillin	CWSI	29	2	191	0	319	223
0.9654436728395060	0.9640277777777780	0.9466856330014230	0.9847222222222220	Streptococcus pneumoniae	penicillin	CWSI	30	3	0	207	318	222
0.9801388888888890	0.9368055555555550	0.9200032826348620	0.9555555555555550	Streptococcus pneumoniae	penicillin	CWSI	31	3	0	208	318	222
0.9835069444444450	0.9359722222222220	0.9436753823905530	0.926111111111111	Streptococcus pneumoniae	penicillin	CWSI	32	3	0	208	318	222
0.9455092592592590	0.9288888888888890	0.9182305660200400	0.9469444444444450	Streptococcus pneumoniae	penicillin	CWSI	33	3	0	208	318	222
0.9695183673469390	0.9285714285714290	0.9166966263034370	0.9437142857142860	Streptococcus pneumoniae	penicillin	CWSI	34	3	0	208	319	222
0.9697632653061220	0.9501428571428570	0.970165815275279	0.9308571428571430	Streptococcus pneumoniae	penicillin	CWSI	35	3	0	208	319	222
0.9426857142857140	0.9265714285714290	0.9408420337832100	0.9060000000000000	Streptococcus pneumoniae	penicillin	CWSI	36	3	0	208	319	222
0.9573673469387750	0.929	0.9161043646477080	0.9391428571428570	Streptococcus pneumoniae	penicillin	CWSI	37	3	0	208	319	223
0.974665306122449	0.9054285714285720	0.8519390243902440	0.984857142857143	Streptococcus pneumoniae	penicillin	CWSI	38	3	0	208	319	223
0.9817346938775510	0.9044285714285720	0.8902691102629180	0.9262857142857140	Streptococcus pneumoniae	penicillin	CWSI	39	3	0	208	319	223
0.9857248520710060	0.9001923076923080	0.9514318840579710	0.8461538461538460	Streptococcus pneumoniae	penicillin	CWSI	40	0	208	225	168	0
0.9625280000000000	0.873	0.9448202522115570	0.8000000000000000	Streptococcus pneumoniae	penicillin	CWSI	41	0	208	226	168	0
0.976808	0.9124000000000000	0.985909090909091	0.8400000000000000	Streptococcus pneumoniae	penicillin	CWSI	42	0	209	226	168	0
